subj,task,attach_site,itemN,rt
42,maze,low,11,511.4
42,maze,low,12,791.9
42,maze,high,13,948
42,maze,high,14,1638.2
42,maze,high,15,1205.2
42,maze,high,17,981.3
42,maze,high,18,1558.3
42,maze,high,19,1428.2
42,maze,high,21,1533.7
42,maze,high,22,902.1
42,maze,high,23,1239.8
43,maze,low,1,479.2
43,maze,low,3,1356.7
43,maze,low,4,453.6
43,maze,low,5,663.3
43,maze,low,6,552.3
43,maze,low,7,499.4
43,maze,low,8,569.3
43,maze,low,12,933.8
43,maze,high,13,580.6
43,maze,high,14,1285.6
43,maze,high,17,562.2
43,maze,high,19,826.2
43,maze,high,20,614
43,maze,high,21,495
43,maze,high,22,729
43,maze,high,24,560.6
44,maze,low,1,729.1
44,maze,low,2,675.5
44,maze,low,3,724.6
44,maze,low,7,804.3
44,maze,low,8,660.1
44,maze,low,9,594.8
44,maze,low,10,483.2
44,maze,low,11,572.3
44,maze,low,12,700.7
44,maze,high,13,898.6
44,maze,high,14,783.1
44,maze,high,15,1198.9
44,maze,high,16,709.1
44,maze,high,17,906.9
44,maze,high,18,667.2
44,maze,high,19,730.5
44,maze,high,20,621.9
44,maze,high,21,549.1
44,maze,high,22,412
44,maze,high,23,1183.2
45,maze,low,1,1120
45,maze,low,2,1199.8
45,maze,low,3,821.5
45,maze,low,4,948.8
45,maze,low,6,1068.4
45,maze,low,7,1798.5
45,maze,low,9,2518.7
45,maze,low,10,533.7
45,maze,low,12,2160.8
45,maze,high,13,1634.8
45,maze,high,14,1078.3
45,maze,high,15,2518.7
45,maze,high,16,815.5
45,maze,high,18,1139.2
45,maze,high,19,1212.2
45,maze,high,20,828.1
45,maze,high,21,783.7
45,maze,high,22,950.2
45,maze,high,23,1052.1
45,maze,high,24,853.3
46,maze,low,1,740.7
46,maze,low,2,493
46,maze,low,3,532.8
46,maze,low,4,783.5
46,maze,low,5,602.1
46,maze,low,6,829.2
46,maze,low,7,667.8
46,maze,low,8,914.1
46,maze,low,9,570
46,maze,low,10,665.9
46,maze,low,11,872.9
46,maze,high,13,1201.1
46,maze,high,14,883.1
46,maze,high,15,1439.4
46,maze,high,16,1176.5
46,maze,high,17,800.3
46,maze,high,18,741.2
46,maze,high,19,621.9
46,maze,high,20,1029
46,maze,high,21,589.6
46,maze,high,22,775.2
46,maze,high,23,1439.4
46,maze,high,24,689.1
47,maze,low,1,645
47,maze,low,2,774.5
47,maze,low,3,715.4
47,maze,low,4,691.6
47,maze,low,5,686.4
47,maze,low,6,640.2
47,maze,low,7,630.2
47,maze,low,8,552
47,maze,low,9,849.6
47,maze,low,10,609.2
47,maze,low,11,661.6
47,maze,low,12,596.5
47,maze,high,13,542.1
47,maze,high,15,1069.8
47,maze,high,16,499.6
47,maze,high,17,1236.3
47,maze,high,18,812.3
47,maze,high,19,812
47,maze,high,20,661.6
47,maze,high,21,829
47,maze,high,22,588
47,maze,high,23,689.3
47,maze,high,24,1236.3
48,maze,low,3,840.2
48,maze,low,4,1185.4
48,maze,low,5,1381.6
48,maze,low,6,1138.1
48,maze,low,7,778.6
48,maze,low,8,640.6
48,maze,low,9,944.7
48,maze,low,10,1081.3
48,maze,low,11,894
48,maze,low,12,1260.3
48,maze,high,15,1010.6
48,maze,high,16,2090.8
48,maze,high,17,2213.4
48,maze,high,18,1106.6
48,maze,high,20,1228.4
48,maze,high,21,1448.1
48,maze,high,22,883
48,maze,high,23,938.8
49,maze,low,13,519.4
49,maze,low,14,1221.4
49,maze,low,15,878.6
49,maze,low,16,517
49,maze,low,17,828.9
49,maze,low,18,924.5
49,maze,low,19,951.7
49,maze,low,20,922.3
49,maze,low,21,1054
49,maze,low,22,833.4
49,maze,low,23,753
49,maze,high,1,665.5
49,maze,high,2,1108.6
49,maze,high,3,756.5
49,maze,high,4,645.4
49,maze,high,5,924.8
49,maze,high,6,984.6
49,maze,high,7,990.3
49,maze,high,9,1401.5
49,maze,high,10,901.7
49,maze,high,11,1257.1
49,maze,high,12,633.3
50,maze,low,13,759.1
50,maze,low,14,770.2
50,maze,low,15,934.2
50,maze,low,16,952.6
50,maze,low,17,536.4
50,maze,low,18,523
50,maze,low,19,886.5
50,maze,low,20,852.4
50,maze,low,21,906.3
50,maze,low,22,898.9
50,maze,low,23,638.8
50,maze,low,24,799
50,maze,high,1,1152.9
50,maze,high,2,649.2
50,maze,high,3,602.5
50,maze,high,4,848.9
50,maze,high,5,692
50,maze,high,6,752.9
50,maze,high,7,740.3
50,maze,high,8,841.2
50,maze,high,9,1152.9
50,maze,high,10,640.1
50,maze,high,11,741
51,maze,low,13,1180.6
51,maze,low,14,609.2
